year;length
1974.0787004697922; 8.086534905699143
1975.1137499828792; 7.775485885688459
1976.1019572393202; 8.672638369560753
1977.036610921642; 6.37799783594253
1986.0853843941325; 7.68489679637315
1987.0634561915329; 7.977975921436497
1988.0385147443535; 6.091465669556643
1988.9913848598158; 6.882524551095042
1990.0157510512115; 5.934749558285739
1991.0573749161085; 8.015531906151129
1992.0524304556848; 7.3208420648943315
1992.9961238717453; 5.564969662105711
1994.0073413595212; 7.833531933544261
1994.9896590924654; 6.379668817027572
1996.052238703757; 7.709413649997946
1997.0587993590007; 7.7004287025242775
1998.0196134828998; 6.964950486912931
1999.062196107436; 7.102874909260249
2000.0688937283423; 7.102053115283999
2001.0418977962224; 7.0930955609428725
2001.9539521441975; 5.451534700250648
2002.9868102066812; 5.009875224281274
2003.8953034474257; 3.156072372656176
2005.014723808741; 5.873525907055102
2006.0041637561462; 6.844146772404159
2007.0088068921123; 4.720877675966636
2007.9338729780443; 3.8548163975291407
2008.9515278519675; 4.507046883346346
